percDelayed;averageDelay;percBundled;percReassignedOrders;percReassignedCouriers
0.0771421;14.1261;0.128656;0.0678229;0
0.067178;13.5644;0.116636;0.060566;0
0.0917478;17.0172;0.135828;0.0691953;0
0.0875969;17.7605;0.135917;0.070801;0
0.0639565;11.2325;0.129208;0.0603314;0
0.0638642;11.6683;0.109404;0.0611695;0
0.0671321;13.29;0.12594;0.0684748;0
0.0634585;11.3728;0.122422;0.0772078;0
0.102253;21.4776;0.139205;0.0764363;0
0.0674518;12.1756;0.115632;0.0599572;0
0.0851008;19.1076;0.131972;0.0641529;0
0.0857895;16.7326;0.135789;0.0694737;0
0.0773035;15.3969;0.125455;0.0736596;0
0.0761264;13.6095;0.130761;0.0750906;0
0.1193;28.3362;0.162435;0.0739463;0
0.0693824;12.1114;0.111432;0.0680683;0
0.0774888;15.7297;0.125558;0.0659312;0
0.0981846;20.3416;0.138839;0.0718486;0
0.0687484;13.6696;0.114406;0.0611388;0
0.0607676;12.2172;0.113273;0.0666311;0
0.057377;10.7546;0.113696;0.0637229;0
0.0656472;14.3628;0.112049;0.0635381;0
0.0556611;9.918;0.105077;0.0621776;0
0.0650615;10.9713;0.124232;0.0709529;0
0.0764495;14.5749;0.133402;0.067727;0
0.0683673;14.5079;0.134949;0.0783163;0
0.104194;20.5843;0.131805;0.0698098;0
0.0645761;10.6394;0.111347;0.0677651;0
0.0926996;17.4236;0.139443;0.0646008;0
0.0920372;18.6854;0.139866;0.0744571;0
0.0745046;12.5564;0.12576;0.07107;0
0.0551372;10.291;0.0995159;0.0623991;0
0.0904884;17.4884;0.144216;0.0760925;0
0.0970874;19.6536;0.127263;0.0676988;0
0.0882353;18.4751;0.128246;0.0781664;0
0.08329;16.8308;0.131442;0.0715773;0
0.0691824;14.6732;0.118973;0.0704927;0
0.0701204;15.9437;0.117478;0.0641026;0
0.065793;10.4482;0.118748;0.0588393;0
0.0598404;10.2309;0.107447;0.0619681;0
0.0973358;20.8697;0.122395;0.0611976;0
0.0725511;13.7902;0.119434;0.0691461;0
0.0805796;17.2552;0.12608;0.0790544;0
